DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;REGIAOMETROPOLITANA;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;2;TARDE;2;MATEMÁTICA;164,1
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;169,7
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;9;GERAL;2;MATEMÁTICA;163,2
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;199,2
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;213,3
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;204,8
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;2;TARDE;2;MATEMÁTICA;221,1
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;201,6
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;9;GERAL;2;MATEMÁTICA;216,7
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;247,3
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;260,3
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;232,3
